code,qualification,crime_rate,cars_per_household,in_employment,number_of_housespace
E09000001,68.4,656.4,0.4,4555,"5,530"
E05000026,34.5,138.1,0.5,5444,"4,753"
E05000027,16.7,73.6,0.8,4143,"4,045"
E05000028,20.6,79.9,0.9,4598,"4,378"
E05000029,19.5,76.1,0.9,3819,"4,062"
E05000030,18.5,66.7,1.1,4592,"3,977"
E05000031,20,82.2,0.8,4546,"4,321"
E05000032,25.2,75.8,0.5,4382,"4,711"
E05000033,18.8,74.8,0.8,4544,"4,296"
E05000034,17.6,83.7,0.7,4043,"4,418"
E05000035,25,57,1.1,4894,"3,788"
E05000036,16.2,67.9,0.8,3978,"3,987"
E05000037,16,56.8,0.8,3785,"3,844"
E05000038,19.5,85,0.8,4420,"4,097"
E05000039,24.4,95.6,0.7,4081,"4,013"
E05000040,17.8,68.3,0.8,3873,"3,917"
E05000041,17.9,90.8,0.8,4242,"4,508"
E05000042,22.4,72.4,1,4617,"4,091"
E05000043,34.4,49.4,1.3,7603,"6,186"
E05000044,24.7,68.5,0.8,7674,"6,511"
E05000045,43.7,90.5,0.8,9309,"8,045"
E05000046,30.8,58.9,0.8,7344,"6,460"
E05000047,40.6,75.6,1,8630,"7,136"
E05000048,36.5,44,1.2,7566,"6,639"
E05000049,49.6,47.5,0.8,8153,"6,805"
E05000050,36,71.4,1.2,7259,"6,167"
E05000051,48.6,52,1.2,7386,"6,508"
E05000052,57.3,65.1,1.2,7373,"6,602"
E05000053,37.4,61.3,1,7635,"6,373"
E05000054,36.5,46.8,1.2,7828,"6,327"
E05000055,41.3,72.6,1,8381,"7,255"
E05000056,44.3,56.3,1.2,7421,"6,794"
E05000057,41.6,62.8,1.3,8329,"7,122"
E05000058,40.7,49.7,1.3,7486,"6,285"
E05000059,47,39.7,1.3,6849,"6,029"
E05000060,31.8,57.9,1.1,6874,"6,462"
E05000061,49.5,55.2,0.9,8583,"6,862"
E05000062,34.4,99.9,0.9,8051,"6,465"
E05000063,41.3,69.3,1,8568,"7,029"
E05000064,20.1,46.5,1.3,4958,"4,304"
E05000065,21.9,62,1,5439,"4,988"
