Code,Area,Year,Fuel,Sector,Measurement,Value
E09000002,Barking and Dagenham,2005,Coal,Total,Ktoe ,0.237346702
E09000003,Barnet,2005,Coal,Total,Ktoe ,0.199735653
E09000004,Bexley,2005,Coal,Total,Ktoe ,0.190574589
E09000005,Brent,2005,Coal,Total,Ktoe ,0.117425684
E09000006,Bromley,2005,Coal,Total,Ktoe ,0.380704719
E09000007,Camden,2005,Coal,Total,Ktoe ,0.105784286
E09000001,City of London,2005,Coal,Total,Ktoe ,0
E09000008,Croydon,2005,Coal,Total,Ktoe ,0.390480309
E09000009,Ealing,2005,Coal,Total,Ktoe ,0.416603243
E09000010,Enfield,2005,Coal,Total,Ktoe ,0.277726592
E09000011,Greenwich,2005,Coal,Total,Ktoe ,0.186232609
E09000012,Hackney,2005,Coal,Total,Ktoe ,0.139394499
E09000013,Hammersmith and Fulham,2005,Coal,Total,Ktoe ,0.048504015
E09000014,Haringey,2005,Coal,Total,Ktoe ,0.129983982
E09000015,Harrow,2005,Coal,Total,Ktoe ,0.122201066
E09000016,Havering,2005,Coal,Total,Ktoe ,0.603969307
E09000017,Hillingdon,2005,Coal,Total,Ktoe ,0.359389369
E09000018,Hounslow,2005,Coal,Total,Ktoe ,0.24829984
E09000019,Islington,2005,Coal,Total,Ktoe ,0.087870335
E09000020,Kensington and Chelsea,2005,Coal,Total,Ktoe ,0.093626698
E09000021,Kingston upon Thames,2005,Coal,Total,Ktoe ,0.176911857
E09000022,Lambeth,2005,Coal,Total,Ktoe ,0.14601061
E09000023,Lewisham,2005,Coal,Total,Ktoe ,0.201170042
E09000024,Merton,2005,Coal,Total,Ktoe ,0.114468886
E09000025,Newham,2005,Coal,Total,Ktoe ,0.200923431
E09000026,Redbridge,2005,Coal,Total,Ktoe ,0.191716696
E09000027,Richmond upon Thames,2005,Coal,Total,Ktoe ,0.214772987
E09000028,Southwark,2005,Coal,Total,Ktoe ,0.129863353
E09000029,Sutton,2005,Coal,Total,Ktoe ,0.275552418
E09000030,Tower Hamlets,2005,Coal,Total,Ktoe ,0.130022613
E09000031,Waltham Forest,2005,Coal,Total,Ktoe ,0.218933042
E09000032,Wandsworth,2005,Coal,Total,Ktoe ,0.109853418
E09000033,Westminster,2005,Coal,Total,Ktoe ,0.150621176
E09000002,Barking and Dagenham,2006,Coal,Total,Ktoe ,0.158911611
E09000003,Barnet,2006,Coal,Total,Ktoe ,0.133729747
E09000004,Bexley,2006,Coal,Total,Ktoe ,0.129381495
E09000005,Brent,2006,Coal,Total,Ktoe ,0.078620451
E09000006,Bromley,2006,Coal,Total,Ktoe ,0.266169621
E09000007,Camden,2006,Coal,Total,Ktoe ,0.070826143
E09000001,City of London,2006,Coal,Total,Ktoe ,0
E09000008,Croydon,2006,Coal,Total,Ktoe ,0.272051388
E09000009,Ealing,2006,Coal,Total,Ktoe ,0.275393698
E09000010,Enfield,2006,Coal,Total,Ktoe ,0.185947308
E09000011,Greenwich,2006,Coal,Total,Ktoe ,0.124689004
E09000012,Hackney,2006,Coal,Total,Ktoe ,0.093329312
E09000013,Hammersmith and Fulham,2006,Coal,Total,Ktoe ,0.032475071
E09000014,Haringey,2006,Coal,Total,Ktoe ,0.087028654
E09000015,Harrow,2006,Coal,Total,Ktoe ,0.081842635
E09000016,Havering,2006,Coal,Total,Ktoe ,0.411944278
E09000017,Hillingdon,2006,Coal,Total,Ktoe ,0.27001265
E09000018,Hounslow,2006,Coal,Total,Ktoe ,0.166245106
E09000019,Islington,2006,Coal,Total,Ktoe ,0.058832149
E09000020,Kensington and Chelsea,2006,Coal,Total,Ktoe ,0.062686228
E09000021,Kingston upon Thames,2006,Coal,Total,Ktoe ,0.118448447
E09000022,Lambeth,2006,Coal,Total,Ktoe ,0.097759022
E09000023,Lewisham,2006,Coal,Total,Ktoe ,0.134690119
E09000024,Merton,2006,Coal,Total,Ktoe ,0.076640774
E09000025,Newham,2006,Coal,Total,Ktoe ,0.134525005
E09000026,Redbridge,2006,Coal,Total,Ktoe ,0.128360785
E09000027,Richmond upon Thames,2006,Coal,Total,Ktoe ,0.143797749
E09000028,Southwark,2006,Coal,Total,Ktoe ,0.086947889
E09000029,Sutton,2006,Coal,Total,Ktoe ,0.184491625
E09000030,Tower Hamlets,2006,Coal,Total,Ktoe ,0.087054519
E09000031,Waltham Forest,2006,Coal,Total,Ktoe ,0.146583045
E09000032,Wandsworth,2006,Coal,Total,Ktoe ,0.073550564
E09000033,Westminster,2006,Coal,Total,Ktoe ,0.100845951
E09000002,Barking and Dagenham,2007,Coal,Total,Ktoe ,0.267712955
E09000003,Barnet,2007,Coal,Total,Ktoe ,0.118447779
E09000004,Bexley,2007,Coal,Total,Ktoe ,0.132682296
E09000005,Brent,2007,Coal,Total,Ktoe ,0.068766274
E09000006,Bromley,2007,Coal,Total,Ktoe ,0.243383049
E09000007,Camden,2007,Coal,Total,Ktoe ,0.061948893
E09000001,City of London,2007,Coal,Total,Ktoe ,0
E09000008,Croydon,2007,Coal,Total,Ktoe ,0.239868957
E09000009,Ealing,2007,Coal,Total,Ktoe ,0.283494145
E09000010,Enfield,2007,Coal,Total,Ktoe ,0.168559053
E09000011,Greenwich,2007,Coal,Total,Ktoe ,0.113499249
E09000012,Hackney,2007,Coal,Total,Ktoe ,0.094947317
E09000013,Hammersmith and Fulham,2007,Coal,Total,Ktoe ,0.028404692
