ward,code,qualification,crime_rate,employment
City of London,E09000001,68.4,656.4,79.6
Barking and Dagenham - Abbey,E05000026,34.5,138.1,60.3
Barking and Dagenham - Alibon,E05000027,16.7,73.6,63.1
Barking and Dagenham - Becontree,E05000028,20.6,79.9,61.2
Barking and Dagenham - Chadwell Heath,E05000029,19.5,76.1,63.6
Barking and Dagenham - Eastbrook,E05000030,18.5,66.7,68.2
Barking and Dagenham - Eastbury,E05000031,20,82.2,61.5
Barking and Dagenham - Gascoigne,E05000032,25.2,75.8,56.4
Barking and Dagenham - Goresbrook,E05000033,18.8,74.8,63.6
Barking and Dagenham - Heath,E05000034,17.6,83.7,61.4
Barking and Dagenham - Longbridge,E05000035,25,57,65.2
Barking and Dagenham - Mayesbrook,E05000036,16.2,67.9,61.9
Barking and Dagenham - Parsloes,E05000037,16,56.8,61.5
Barking and Dagenham - River,E05000038,19.5,85,64.2
Barking and Dagenham - Thames,E05000039,24.4,95.6,60.5
Barking and Dagenham - Valence,E05000040,17.8,68.3,63.1
Barking and Dagenham - Village,E05000041,17.9,90.8,61.7
Barking and Dagenham - Whalebone,E05000042,22.4,72.4,67.5
Barnet - Brunswick Park,E05000043,34.4,49.4,71.4
Barnet - Burnt Oak,E05000044,24.7,68.5,63.7
Barnet - Childs Hill,E05000045,43.7,90.5,67.9
Barnet - Colindale,E05000046,30.8,58.9,61.9
Barnet - Coppetts,E05000047,40.6,75.6,71.5
Barnet - East Barnet,E05000048,36.5,44,71.5
Barnet - East Finchley,E05000049,49.6,47.5,74.9
Barnet - Edgware,E05000050,36,71.4,69
Barnet - Finchley Church End,E05000051,48.6,52,72.6
Barnet - Garden Suburb,E05000052,57.3,65.1,73.1
Barnet - Golders Green,E05000053,37.4,61.3,66.7
Barnet - Hale,E05000054,36.5,46.8,70.7
Barnet - Hendon,E05000055,41.3,72.6,66.7
Barnet - High Barnet,E05000056,44.3,56.3,74.5
Barnet - Mill Hill,E05000057,41.6,62.8,70.5
Barnet - Oakleigh,E05000058,40.7,49.7,73.4
Barnet - Totteridge,E05000059,47,39.7,71.6
Barnet - Underhill,E05000060,31.8,57.9,68.3
Barnet - West Finchley,E05000061,49.5,55.2,74.2
Barnet - West Hendon,E05000062,34.4,99.9,67.2
Barnet - Woodhouse,E05000063,41.3,69.3,72
Bexley - Barnehurst,E05000064,20.1,46.5,75.8
Bexley - Belvedere,E05000065,21.9,62,70.4
Bexley - Blackfen and Lamorbey,E05000066,19.3,28.8,77.3
Bexley - Blendon and Penhill,E05000067,19.6,37.7,78.2
Bexley - Brampton,E05000068,20.7,26.3,76.6
Bexley - Christchurch,E05000069,24.9,97.5,77
Bexley - Colyers,E05000070,18.1,39.5,70.2
Bexley - Crayford,E05000071,18.6,62.2,73.2
Bexley - Cray Meadows,E05000072,22.2,54.3,71.4
Bexley - Danson Park,E05000073,21.6,54,75
Bexley - East Wickham,E05000074,18.8,40.5,73.5
Bexley - Erith,E05000075,22.6,82.3,67.6
Bexley - Falconwood and Welling,E05000076,19.6,47.7,76.2
Bexley - Lesnes Abbey,E05000077,22.5,59.8,69.7
Bexley - Longlands,E05000078,27.1,34.2,75.4
Bexley - North End,E05000079,19.5,81.2,63.3
Bexley - Northumberland Heath,E05000080,17.8,42.1,73.6
Bexley - St. Mary's,E05000081,27,33.2,77.3
Bexley - St. Michael's,E05000082,19.1,30,75.9
Bexley - Sidcup,E05000083,27.2,50.5,74
Bexley - Thamesmead East,E05000084,28.2,54.9,62.6
Brent - Alperton,E05000085,26.2,69.1,67.4
Brent - Barnhill,E05000086,34.7,64.7,64.2
Brent - Brondesbury Park,E05000087,45,70.8,71.8
Brent - Dollis Hill,E05000088,25.1,67.3,61.5
Brent - Dudden Hill,E05000089,31.7,88.2,65.9
Brent - Fryent,E05000090,29,58.4,66.5
Brent - Harlesden,E05000091,21.4,100.3,59.3
Brent - Kensal Green,E05000092,33.8,86.6,68.8
Brent - Kenton,E05000093,39.8,51.3,70.3
Brent - Kilburn,E05000094,39.9,79.3,68.9
Brent - Mapesbury,E05000095,43.7,71.8,70.6
Brent - Northwick Park,E05000096,40.3,64.7,67.4
Brent - Preston,E05000097,35.4,57.9,67
Brent - Queens Park,E05000098,48.2,72.9,75.8
Brent - Queensbury,E05000099,30.8,65,67.7
Brent - Stonebridge,E05000100,20.5,116,54.2
Brent - Sudbury,E05000101,32.3,51.5,67.4
Brent - Tokyngton,E05000102,31.9,82.8,67.5
Brent - Welsh Harp,E05000103,24.7,62.9,64.9
Brent - Wembley Central,E05000104,29,118.3,65.6
Brent - Willesden Green,E05000105,33.3,94.9,68.6
Bromley - Bickley,E05000106,40.7,36.5,76
Bromley - Biggin Hill,E05000107,23,44.8,79.2
Bromley - Bromley Common and Keston,E05000108,28.3,53,73.2
Bromley - Bromley Town,E05000109,41,139,78.6
Bromley - Chelsfield and Pratts Bottom,E05000110,33.2,40.3,77.3
Bromley - Chislehurst,E05000111,38,55.2,75.1
Bromley - Clock House,E05000112,38.3,46,77.7
Bromley - Copers Cope,E05000113,45,70.5,79.5
Bromley - Cray Valley East,E05000114,19.6,102.2,69.3
Bromley - Cray Valley West,E05000115,18.7,71.5,67.4
Bromley - Crystal Palace,E05000116,38.1,90,69.5
Bromley - Darwin,E05000117,26.9,43.9,75
Bromley - Farnborough and Crofton,E05000118,31,43,75.1
Bromley - Hayes and Coney Hall,E05000119,31.8,35,76.3
Bromley - Kelsey and Eden Park,E05000120,33.8,59.9,75.5
Bromley - Mottingham and Chislehurst North,E05000121,22.1,93,67.9
Bromley - Orpington,E05000122,27.1,89.6,72.8
Bromley - Penge and Cator,E05000123,36.5,89.9,70.4
Bromley - Petts Wood and Knoll,E05000124,36,43,75.4
Bromley - Plaistow and Sundridge,E05000125,34.1,48.6,73.5
Bromley - Shortlands,E05000126,43.3,33.8,76.3
Bromley - West Wickham,E05000127,32.5,33.9,76.8
Camden - Belsize,E05000128,62.2,60.9,74.4
Camden - Bloomsbury,E05000129,46.5,314.1,51.4
Camden - Camden Town with Primrose Hill,E05000130,53.9,297,69.4
Camden - Cantelowes,E05000131,48.1,82.5,64.3
Camden - Fortune Green,E05000132,57.8,54.2,74.6
Camden - Frognal and Fitzjohns,E05000133,61.4,56.7,69.8
Camden - Gospel Oak,E05000134,45.6,65.8,65.5
Camden - Hampstead Town,E05000135,68.3,82.9,76.6
Camden - Haverstock,E05000136,43.1,87.6,62.9
Camden - Highgate,E05000137,55.8,81,70.4
Camden - Holborn and Covent Garden,E05000138,46.2,311,61.9
Camden - Kentish Town,E05000139,54.6,89,71.3
Camden - Kilburn,E05000140,43.8,110.7,66.8
Camden - King's Cross,E05000141,39.7,122.4,46.1
